is_reply,flag_SYN,flag_ACK,flag_FIN,flag_RST,flag_PSH,flag_URG,proto_TCP,proto_UDP,verdict_FORWARDED,dir_EGRESS,dir_INGRESS,label
0,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1,1,0,1
0,0,1,1,0,0,0,1,0,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,1,1,0,1
1,1,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1,0,1
0,0,1,1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,1,1,0,1
1,1,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1,0,1
0,0,1,1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,1,1,0,1
1,1,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1,0,1
0,0,1,1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
1,0,1,0,0,0,0,1,0,1,1,0,7
0,0,1,0,0,0,0,1,0,1,1,0,7
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
